on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
1571,Ka ua Kīpuʻupuʻu o Waimea.,The Kīpuʻupuʻu rain of Waimea.,"An expression often used in songs of Waimea, Hawaiʻ1. When Kamehameha organized an army of spear fighters and runners from Waimea, they called themselves Kīpuʻupuʻu after the cold rain of their homeland.",haw-k.htm#kipoohiwi,ON-conc-k-full.htm
1572,Ka ua koʻi-lipilipi o Kalihi.,The adz rain of Kalihi.,"A pouring rain that lasts for days. A story is told of a couple who slept while the rain poured. The rain lasted so long that when they awoke, the sides of their heads were flattened, as though cut away by an adz.",haw-k.htm#kali,ON-conc-k-full.htm
1573,Ka ua Kolowao o Kaʻala.,The Mountain-creeper rain of Kaʻala.,This rain is accompanied by a mist that seems to creep among the trees.,haw-k.htm#kaakepa,ON-conc-k-full.htm
1574,Ka ua Kuahine o Mānoa.,The Kuahine rain of Mānoa.,"This rain is famed in the songs of Mānoa. According to an old legend, Kuahine was a chiefess, the wife of Kahaukani. Their daughter Kahalaopuna was so beautiful that rainbows appeared wherever she was. Once, two gossiping men claimed they had made love to her. This so angered her betrothed husband that he beat her into unconsciousness. She was revived by an owl god, but after hearing more gossip, her betrothed killed her. In grief, her mother became the Kuahine rain. Her father adopted two forms — the wind Kahaukani and a hau tree. It was said that this tree moaned in grief whenever a member of royalty died.",haw-k.htm#kuaau,ON-conc-k-full.htm
1575,Ka ua Kūkalahale o Honolulu.,The Kūkalahale rain of Honolulu.,The rain that announces itself to the homes by the pattering it makes on the roofs as it falls. Often mentioned in songs.,haw-h.htm#hono,ON-conc-h-full.htm
1576,Ka ua kūnihi a Kaʻupena.,The rain of Kaʻupena that turns aside.,"Kaʻupena was a seeress of Kamaʻoa Plain, in Kaʻū. Whenever rain approached, she called it to come to her home and to leave the homes of her neighbors alone so that their crops would not be ruined by a too-early rain. The rain obeyed.",haw-k.htm#kaupe,ON-conc-k-full.htm
1577,Ka ua Kūpunikapa o Lanakila.,The Hold-fast-to-the-clothing rain of Lanakila.,"The rain of Lanakila, Maui, is so cold that it makes one clutch and hold his clothing close to his body.",haw-k.htm#kupuna,ON-conc-k-full.htm
1578,Ka ua Lanihaʻahaʻa o Hāna.,The Rain-of-the-low-sky of Hāna,"Refers to Hāna, Maui. once, the young warrior chief Kaʻeokulani ran to a banana grove to escape a sudden squall. As he stood safe and dry in the shelter of the banana leaves he lifted his spear. It accidentally pierced through the leaves and a trickle of water came through. He remarked that the sky where he stood was so low he had pierced it.",haw-h.htm#hana,ON-conc-h-full.htm
1579,Ka ua Lanipaʻina o ʻUlupalakua.,The Sky-crackling rain of ʻ Ulupalakua.,"Refers to ʻUlupalakua, Maui.",haw-l.htm#lani,ON-conc-l-full.htm
1580,Ka ua lei māʻohu o Waiānuenue.,The rain of Waiānuenue that is like a wreath of mist.,"Wai-ānuenue (Rainbow-water) in Hilo, Hawaiʻi, is now known as Rainbow Falls. On sunny days a rainbow can be seen in the falls, and on rainy days the rising vapor is suggestive of a wreath of mist.",haw-m.htm#maohu,ON-conc-m-full.htm
1581,Ka ua leina hua o Kāʻanapali.,The rain of Kāʻanapali that leaps and produces fruit.,This is used at the end of a tale to indicate that it is finished.,haw-k.htm#kaanae,ON-conc-k-full.htm
1582,Ka ua Līhau o Pāhoa.,The Līhau rain of Pāhoa.,"The icy cold rain of Pāhoa, Puna, Hawaiʻi.",haw-l.htm#lihaliha,ON-conc-l-full.htm
1583,Ka ua Lililehua o Kāʻanapali.,The Tiny-drops-on-the-lehua rain of Kāʻanapali.,This is used at the end of a tale to indicate that it is finished.,haw-k.htm#kaanae,ON-conc-k-full.htm
1584,Ka ua loku o Hanalei.,The pouring rain of Hanalei.,"An expression used in dirges and chants of woe to express the burden of sadness, the heaviness of grief, and tears pouring freely like rain. Rains and fogs of other localities may also be used.",haw-h.htm#hanai,ON-conc-h-full.htm
1585,Ka ua lū lehua o Panaʻewa.,The lehua-shedding rain of Panaʻewa.,"The heavy rain of the lehua forests of Panaʻewa in Hilo, Hawaiʻi. Famed in chants of old.",haw-l.htm#lu,ON-conc-l-full.htm
1586,Ka ua Makakoʻi o Haleleʻa.,The Adz-edged rain of Haleleʻa.,"A rain so cold that it feels like the sharp edge of an adz on the skin. Refers to Haleleʻa, Kauaʻi.",haw-h.htm#hale,ON-conc-h-full.htm
1587,Ka ua moaniani lehua o Puna.,The rain that brings the fragrance of the lehua of Puna.,Puna is known as the land of fragrance.,haw-m.htm#moaniani,ON-conc-m-full.htm
1588,Ka ua nāulu o Kawaihae.,The cloudless rain of Kawaihae.,The rain of Kawaihae often surprises visitors because it seems to come out of a cloudless sky. A native knows by observing the winds and other signs of nature just what to expect.,haw-k.htm#kawa,ON-conc-k-full.htm
1589,Ka ua nihi pali o Moelana.,The rain that sneaks along the cliffs at Moelana.,"The rain at Moelana, below the Nuʻuanu Pali.",haw-m.htm#moe,ON-conc-m-full.htm
1590,Ka ua Noelehua o Waiʻaleʻale.,The Misty-lehua rain of Waiʻaleʻale.,The rain of Waiʻaleʻale that moistens the lehua blossoms there.,haw-n.htm#noeau,ON-conc-n-full.htm
1591,Ka ua nounou ʻili o Waimea.,The skin-pelting rain of Waimea.,"Refers to Waimea, Kauaʻi.",haw-n.htm#nounou,ON-conc-n-full.htm
1592,Ka ua ʻōʻiliʻili maka akua.,The rain that appears here and there to denote the presence of a god.,Said of the rain that falls with a drop here and a drop there instead of falling in a shower.,haw-o.htm#oiliili,ON-conc-o-full.htm
1593,Ka ua Paliloa o Waimea.,The Tall-cliffs rain of Waimea.,"The rain of Waimea, Hawaiʻi, that sweeps down the cliffs.",haw-p.htm#palili,ON-conc-p-full.htm
1594,Ka ua Paʻūpili o Lele.,The Pili-soaking rain of Lele.,"The plains of Lahaina, Maui, were covered with pili grass in ancient days. When the rain poured the grass was well soaked.",haw-l.htm#lele,ON-conc-l-full.htm
1595,Ka ua peʻe pōhaku o Kaupō.,The rain of Kaupō that makes one hide behind a rock.,It falls so suddenly that one flees behind rocks for shelter.,haw-k.htm#kaupe,ON-conc-k-full.htm
1596,Ka ua peʻe pū hala o Huelo.,The rain of Huelo that makes one hide in a hala grove.,Water is life and Kāne is the keeper of water. To dream of a well-filled water gourd that breaks and spills its contents is a warning of death for someone in the family.,haw-h.htm#huelo,ON-conc-h-full.htm
1597,Ka ua pehi hala o Hāmākua.,The rain of Hāmākua that pelts the pandanus fruit clusters.,"Refers to Hāmākua, Maui.",haw-h.htm#hamaki,ON-conc-h-full.htm
1598,Ka ua Pōʻaihale o Kahaluʻu.,The rain that moves around the homes of Kahaluu.,Refers to Kahaluʻu of windward Oʻahu.,haw-k.htm#kahala,ON-conc-k-full.htm
1599,Ka ua pōʻai puni o Kumaka.,The rain of Kumaka that completely surrounds.,"The rain and mists of Kumaka, Kauaʻi, completely screen homes, trees, and so forth from view.",haw-k.htm#kuluma,ON-conc-k-full.htm
1600,Ka ua poʻo nui o ke kuahiwi.,The big-headed rain of the mountain.,"The ʻAwa rain, which falls in fine, icy cold drops that make one’s head appear white.",haw-k.htm#kuahiwi,ON-conc-k-full.htm
1601,Ka ua Pōpōkapa o Nuʻuanu.,The Tapa-bundling rain of Nuuanu.,The Pōpōkapa rain is so called because anyone who came up Nuʻuanu Pali from the windward side had to bundle his garments and hold his arms against his chest to keep from getting wet.,haw-n.htm#nuu,ON-conc-n-full.htm
1602,Ka ua ʻŪkiu o Makawao.,The ʻŪkiu rain of Makawao.,"Refers to Makawao, Maui.",haw-m.htm#makauli,ON-conc-m-full.htm
1603,Ka ua ʻulalena o Piʻiholo.,The reddish-yellow rain of Piʻiholo.,Refers to Piʻihonua.,haw-p.htm#pii,ON-conc-p-full.htm
1604,Ka ua Waʻawaʻahia o Waipiʻo.,The Furrow-cutting rain of Waipio.,"The rain of Waipiʻo, Hawaiʻi, sweeps along the gullies and gulches as it pours",haw-w.htm#waa,ON-conc-w-full.htm
1605,"Kaʻū, hiehie i ka makani.","Kaʻū, regal in the gales.","An expression of admiration for the district of Kaʻū, Hawaiʻi, or for a stately or outstanding person of that district.",haw-h.htm#hiehie,ON-conc-h-full.htm
1606,Kauhū ka ʻena o ka ukiuki na ka inaina.,Annoyance gives heat to anger.,Annoyance easily leads to wrath.,haw-e.htm#ena,ON-conc-e-full.htm
1607,Kau i ka lani ka holowaʻa ua o Hilo.,Placed high in heaven is the rain trough of Hilo.,An expression of admiration for a person of regal bearing.,haw-h.htm#holowaa,ON-conc-h-full.htm
1608,Kau i Kāpua ka poʻe polohuku ʻole.,Those without resources will land at Kāpua.,Without resources one gets nowhere.,haw-k.htm#kapu,ON-conc-k-full.htm
1609,Kau ʻino na waʻa o Kaʻaluʻalu.,The canoes hasten ashore at Kaʻalualu.,"Said of those who hurry away from the scene of trouble. Kaʻaluʻalu is a beach in Kaʻū, Hawaiʻi, where fishermen hastened away from Halaʻea after unloading their fish onto his canoe.",haw-k.htm#kaalo,ON-conc-k-full.htm
1610,"Kaʻū, i Palahemo.","In Kaʻū, at Palahemo.","Palahemo is a pool near Kalae in Kaʻū. Salt water is found under the fresh water, and any disturbance, like the dropping of a heavy stone, reverses the water, so that the salt water rises to the top. This place is famed in songs and chants.",haw-p.htm#palaha,ON-conc-p-full.htm
1611,"Kau ka lā i ka lolo, hoʻi ke aka i ke kino.","The sun stands over the brain, the shadow retreats into the body.","Said of high noon, when the sun is directly overhead and no shadows are seen — an important time for some ancient rites and ceremonies.",haw-a.htm#aka,ON-conc-a-full.htm
1612,Kau ka mahina.,The moon is shining.,A remark made in fun when a bald head is seen.,haw-m.htm#mahina,ON-conc-m-full.htm
1613,Kau ka maka.,The eyes rest upon [him or her].,A longing to see a certain person or to possess a certain thing.,,ON/ON-conc-ka.htm
1614,Kau ka ʻōnohi aliʻi i luna.,The royal eyes rest above.,A rainbow — a sign that the gods are watching the chiefs — is now visible.,haw-o.htm#onohi,ON-conc-o-full.htm
1615,"Kau ka peʻa, holo ka waʻa!",Up go the sails; away goes the canoe!,Said humorously of one who dresses up and goes out for a gay time.,haw-p.htm#pea,ON-conc-p-full.htm
1616,Kau ke keha i ka uluna.,The head rests upon the pillow.,All work is done and there is nothing more to worry about.,haw-k.htm#keha,ON-conc-k-full.htm
1617,Kau ke poʻo i ka uluna ʻo Welehu ka malama.,Rest the head on the pillow; Welehu is the month.,Said of one whose work is done and who is able to rest. Welehu is a stormy month when little can be done except remain at home and sleep.,haw-m.htm#malama,ON-conc-m-full.htm
1618,Kaulaʻi nā iwi i ka lā.,To bleach the bones in the sun.,To talk too freely and unkindly of one’s family to outsiders.,haw-k.htm#kaulai,ON-conc-k-full.htm
1619,Kaulana ka pali o Pōhina.,Famous is the pali of Pohina.,From a chant for the chiefess Maukaʻa of Kaʻū.,haw-k.htm#kaulana,ON-conc-k-full.htm
1620,Kaʻū lepo ʻulaʻula.,Kaʻū of the red earth.,"Said of the natives of old Kaʻū, who were one vast family. Because of pride in their own people and homeland, Kaʻū people intermarried until they were of one blood and as one with their homeland. The kauwā were the only exceptions to this rule — they were despised and considered a people apart.",haw-u.htm#ulaula,ON-conc-u-full.htm
1621,"Kaulīlua i ke anu, Waiʻaleʻale.",Extremely cold is Waiʻaleʻale.,"Said of one who is high above others, as is Waiʻaleʻale, a mountain on Kauaʻi. A chant beginning with this line was composed for a chiefess of Waialua, Oʻahu, named Kaumealani. The last person to inherit it was Kalākaua, who was also known by the name Kaulīlua.",haw-k.htm#kaulana,ON-conc-k-full.htm
1622,Ka ulua kāpapa o ke kai loa.,The powerful ulua of the deep sea.,A strong warrior. The ulua fish is a strong fighter.,haw-k.htm#kapapa,ON-conc-k-full.htm
1623,Ka ulu koa i kai o Oneawa.,The koa grove down at Oneawa.,"From the legend of Hiʻiaka. Canoes are sometimes referred to as the koa grove at sea, for canoes in ancient times were made of koa.",haw-o.htm#oneanea,ON-conc-o-full.htm
1624,Ka ulu kukui o Lanikāula.,The kukui grove of Lanikāula.,"Lanikāula was the kāula (prophet) of Molokaʻi. His fame was so great that it incurred the jealousy of Kawelo, prophet of Lānaʻi, who sought every means of destroying Lanikāula. His efforts were rewarded when he discovered where Lanikāula went to relieve himself. Kawelo made a hole in a sweet potato and filled it with his rival’s excrement. This he took back to Lānaʻi and with it prayed his victim to death. When Lanikāula saw that his end was near, he asked his sons to suggest a burial place. He found each suggestion unsatisfactory except that of his youngest son. So Lanikāula was buried in a kukui grove near his home. In the grave were placed his personal belongings, which, by the power invested in them by a kahuna, would bring harm to anyone who disturbed the remains. So Lanikāula rests in his kukui grove, famed in songs of Molokaʻi.",haw-l.htm#lani,ON-conc-l-full.htm
1625,Ka ulu lāʻau ma kai.,The forest on the seaward side.,Refers to the masts of the ships that came the harbors of Lahaina or Honolulu.,,ON/ON-conc-ka.htm
1626,Kaululāʻau piapia.,Kaululāʻau of the sticky eyes.,"An expression of derision for one who has the “sand” of sleep in his eyes. Kaululāʻau, son of Kakaʻe of Maui, was banished to Lānaʻi by his father and killed the evil beings that overran the island. The largest group was destroyed very early in the moming. Kaululāʻau applied a gum to their eyes while they slept, thus rendering them blind and helpless.",haw-k.htm#kaulua,ON-conc-k-full.htm
1627,Ka ʻulu loaʻa ʻole i ka lou ʻia.,The breadfruit that even a pole cannot reach.,Said of a person of very high rank.,haw-l.htm#lou,ON-conc-l-full.htm
1628,"Kaʻū, mai ʻOkiʻokiaho a Mawae.","Kaʻū, from ʻOkiʻokiaho to Mawae.","The district of Kaʻū, from ʻOkiʻokiaho at the boundary of Puna, to Mawae at the boundary of Kona.",haw-m.htm#mauu,ON-conc-m-full.htm
1629,Kaʻū mākaha.,Kaʻū of the fierce fghters.,"The district of Kaʻū, Hawaiʻi, was known for its fierce and independent warriors. Kohāikalani, Koihala, and Halaʻea, selfish and oppressive chiefs, were each destroyed by rebellious subjects.",haw-m.htm#makaha,ON-conc-m-full.htm
1630,"Kaʻū malo ʻeka, kua wehi.",Kaʻū of the dirty loincloth and black back.,The farmers there squatted on their haunches and worked the soil with short digging sticks. The sun darkened the backs of the workers.,haw-e.htm#eka,ON-conc-e-full.htm
1631,Kaunaʻoa pālaha kukui o Kamehaʻikana.,The kaunaʻoa that spreads and fattens the kukui foliage of Kamehaʻikana.,"Said of kaunaoa niālolo, which grows so thickly in some places that it covers the leaves of kukui and other trees.",haw-k.htm#kamehai,ON-conc-k-full.htm
1632,Kaʻū nui kua makani.,Great Kaʻū of the windblown back.,The wind always blows in Kaʻū.,,ON/ON-conc-ka0u1.htm
1633,Kaʻū nui maka lepo.,Great Kaʻū of dirty faces.,"An expression of ridicule. Kaʻū, Hawaiʻi, is a dry, wind-swept district where clouds of dust rise into the air.",,ON/ON-conc-ka0u1.htm
1634,Kauō ulupau ka holo-kahiki.,A sailor drags his anchor in many harbors.,A sailor has a sweetheart in every port.,haw-h.htm#holokahiki,ON-conc-h-full.htm
1635,Kaupō ʻai loli.,"Kaupō, land of the loli eaters.","Kauakahiakua, a chief of Kaupō, Maui, is said to have been fond of loli and to have once built a large imu for roasting them. Since that time the people of Kaupō have had a reputation for being especially fond of this sea creature.",haw-k.htm#kaupe,ON-conc-k-full.htm
1636,Kau pō Kāneiahuea.,All night long rode Kāneiahuea.,"Said of one who wastes time in useless effort. From the story of a man who started out from the inlet of Kāneiahuea, Kona, one night. Because he was unfamiliar with the place, he went back and forth all night without finding an outlet to the open sea. Similar to the saying Naʻaupō wale ʻo Kāneiahuea.",haw-k.htm#kane,ON-conc-k-full.htm
1637,Kaʻupu hehi ʻale o ka moana.,The kaʻupu bird that steps on the ocean billows.,A ship.,haw-h.htm#hehi,ON-conc-h-full.htm
1638,Kauā ke aloha i nā lehua o Kāʻana.,Love is a slave to the lehua blossoms of Kāʻana.,Kāʻana is a place between Keaʻau and ʻŌlaʻa where travelers used to rest and make lei of lehua. It took many blossoms and much patience to complete a lei. The lei was later given to a loved one.,haw-k.htm#kaalo,ON-conc-k-full.htm
